bloque,ramo,mes,real,leg,mod
NETO,40,202601,8460262.332592808,8302131.4898685,8720595.527589746
NETO,40,202602,11381076.56890168,11459794.509903586,11924699.294808403
NETO,40,202603,11949636.679088658,12036065.489797011,12493093.765408903
NETO,40,202604,13159162.288193807,13454287.366783006,13909655.872405067
NETO,40,202605,11946484.054301875,12939091.38190595,13399975.776442189
NETO,40,202606,11849067.872858398,13231306.334233016,13410624.642940119
NETO,40,202607,11972838.884109762,14434841.208415478,14694924.79631092
NETO,40,202608,0.0,0.0,13903003.441746261
NETO,40,202609,0.0,0.0,0.0
NETO,40,202610,0.0,0.0,0.0
NETO,40,202611,0.0,0.0,0.0
NETO,40,202612,0.0,0.0,0.0
NETO,50,202601,60508778.15684182,67123745.3042284,66776005.94878439
NETO,50,202602,61238028.5153031,64600440.343622625,64341131.7828072
NETO,50,202603,61257489.534286946,65475175.07669708,65262195.00504752
NETO,50,202604,61439352.31727422,66321238.16093985,66102951.31642686
NETO,50,202605,65711675.585492596,72182969.01117475,71974303.08332327
NETO,50,202606,68017961.23975632,75853724.50207625,74432667.50108819
NETO,50,202607,67610977.18914364,74239493.50633831,73099225.93401758
NETO,50,202608,0.0,0.0,68365508.36270516
NETO,50,202609,0.0,0.0,0.0
NETO,50,202610,0.0,0.0,0.0
NETO,50,202611,0.0,0.0,0.0
NETO,50,202612,0.0,0.0,0.0
NETO,60,202601,72066160.4485623,93384192.16589703,93961916.77930349
NETO,60,202602,77163485.44087096,97009801.46105827,97515083.96670505
NETO,60,202603,77097758.8640573,96173013.49564749,96685586.25552452
NETO,60,202604,80730269.07171643,102525367.40931207,103217960.95616095
NETO,60,202605,88133674.61144978,110588521.6392982,111342892.5260619
NETO,60,202606,90235057.77662212,114745928.28967373,112124860.33586316
NETO,60,202607,94767380.97767413,120269092.23464012,118264287.13685635
NETO,60,202608,0.0,0.0,93534688.59385552
NETO,60,202609,0.0,0.0,0.0
NETO,60,202610,0.0,0.0,0.0
NETO,60,202611,0.0,0.0,0.0
NETO,60,202612,0.0,0.0,0.0
NETO,71,202601,,,
NETO,71,202602,,,
NETO,71,202603,,,
NETO,71,202604,,,
NETO,71,202605,,,
NETO,71,202606,,,
NETO,71,202607,,,
NETO,71,202608,,,
NETO,71,202609,,,
NETO,71,202610,,,
NETO,71,202611,,,
NETO,71,202612,,,
NETO,73,202601,,,
NETO,73,202602,,,
NETO,73,202603,,,
NETO,73,202604,,,
NETO,73,202605,,,
NETO,73,202606,,,
NETO,73,202607,,,
NETO,73,202608,,,
NETO,73,202609,,,
NETO,73,202610,,,
NETO,73,202611,,,
NETO,73,202612,,,
